"Edition","Discipline","Event","Event_gender","NOC","City","Sport","Athlete","Gender","Olympic_Record","Olympic_Record_Type","Country","ISO","Continent","CityContinent","NumMedals","Value"
1896,"Artistic G.","horizontal bar","M","GER","Athens","Gymnastics","WEINGÄRTNER, Hermann","Men","","","Germany","DE","Europe","Europe",1,1
1896,"Artistic G.","parallel bars","M","GER","Athens","Gymnastics","FLATOW, Alfred","Men","","","Germany","DE","Europe","Europe",1,1
1896,"Artistic G.","pommel horse","M","SUI","Athens","Gymnastics","ZUTTER, Louis","Men","","","Switzerland","CH","Europe","Europe",1,1
1896,"Artistic G.","rings","M","GRE","Athens","Gymnastics","MITROPOULOS, Ioannis","Men","","","Greece","GR","Europe","Europe",1,1
1896,"Artistic G.","rope climbing","M","GRE","Athens","Gymnastics","ANDRIAKOPOULOS, Nicolaos","Men","","","Greece","GR","Europe","Europe",1,1
1896,"Artistic G.","team, horizontal bar","M","GER","Athens","Gymnastics","","Men","","","Germany","DE","Europe","Europe",1,1
1896,"Artistic G.","team, parallel bars","M","GER","Athens","Gymnastics","","Men","","","Germany","DE","Europe","Europe",1,1
1896,"Artistic G.","vault","M","GER","Athens","Gymnastics","SCHUMANN, Carl","Men","","","Germany","DE","Europe","Europe",1,1
1896,"Athletics","100m","M","USA","Athens","Athletics","BURKE, Thomas","Men","","","United States","US","Americas","Europe",1,1
1896,"Athletics","110m hurdles","M","USA","Athens","Athletics","CURTIS, Thomas","Men","","","United States","US","Americas","Europe",1,1
1896,"Athletics","1500m","M","AUS","Athens","Athletics","FLACK, Edwin","Men","","","Australia","AU","Oceania","Europe",1,1
1896,"Athletics","400m","M","USA","Athens","Athletics","BURKE, Thomas","Men","","","United States","US","Americas","Europe",1,1
1896,"Athletics","800m","M","AUS","Athens","Athletics","FLACK, Edwin","Men","","","Australia","AU","Oceania","Europe",1,1
1896,"Athletics","discus throw","M","USA","Athens","Athletics","GARRETT, Robert","Men","","","United States","US","Americas","Europe",1,1
1896,"Athletics","high jump","M","USA","Athens","Athletics","CLARK, Ellery","Men","","","United States","US","Americas","Europe",1,1
1896,"Athletics","long jump","M","USA","Athens","Athletics","CLARK, Ellery","Men","","","United States","US","Americas","Europe",1,1
1896,"Athletics","marathon","M","GRE","Athens","Athletics","LOUIS, Spyridon","Men","","","Greece","GR","Europe","Europe",1,1
1896,"Athletics","pole vault","M","USA","Athens","Athletics","HOYT, William Welles","Men","","","United States","US","Americas","Europe",1,1
1896,"Athletics","shot put","M","USA","Athens","Athletics","GARRETT, Robert","Men","","","United States","US","Americas","Europe",1,1
1896,"Athletics","triple jump","M","USA","Athens","Athletics","CONNOLLY, James","Men","","","United States","US","Americas","Europe",1,1
1896,"Cycling Road","individual road race","M","GRE","Athens","Cycling","KONSTANTINIDIS, Aristidis","Men","","","Greece","GR","Europe","Europe",1,1
1896,"Cycling Track","100km","M","FRA","Athens","Cycling","FLAMENG, Léon","Men","","","France","FR","Europe","Europe",1,1
1896,"Cycling Track","10km","M","FRA","Athens","Cycling","MASSON, Paul","Men","","","France","FR","Europe","Europe",1,1
1896,"Cycling Track","12-hour race","M","AUT","Athens","Cycling","SCHMAL, Adolf","Men","","","Austria","AT","Europe","Europe",1,1
1896,"Cycling Track","1km time trial","M","FRA","Athens","Cycling","MASSON, Paul","Men","","","France","FR","Europe","Europe",1,1
1896,"Cycling Track","Sprint indivual","M","FRA","Athens","Cycling","MASSON, Paul","Men","","","France","FR","Europe","Europe",1,1
1896,"Fencing","foil individual","M","FRA","Athens","Fencing","GRAVELOTTE, Eugène-Henri","Men","","","France","FR","Europe","Europe",1,1
1896,"Fencing","foil, masters","M","GRE","Athens","Fencing","PYRGOS, Leonidas","Men","","","Greece","GR","Europe","Europe",1,1
1896,"Fencing","sabre individual","M","GRE","Athens","Fencing","GEORGIADIS, Ioannis","Men","","","Greece","GR","Europe","Europe",1,1
1896,"Shooting","25m army pistol","M","USA","Athens","Shooting","PAINE, John","Men","","","United States","US","Americas","Europe",1,1
1896,"Shooting","25m rapid fire pistol (60 shots)","M","GRE","Athens","Shooting","PHRANGOUDIS, Joannis","Men","","","Greece","GR","Europe","Europe",1,1
1896,"Shooting","50m pistol (60 shots)","M","USA","Athens","Shooting","PAINE, Sumner","Men","","","United States","US","Americas","Europe",1,1
1896,"Shooting","army rifle, 200m","M","GRE","Athens","Shooting","KARASEVDAS, Pantelis","Men","","","Greece","GR","Europe","Europe",1,1
1896,"Shooting","army rifle, 300m","M","GRE","Athens","Shooting","ORPHANIDIS, Georgios","Men","","","Greece","GR","Europe","Europe",1,1
