Athlete	Country	NOC	Gender	Sport	Discipline	Event	Event_gender
Ruolin Chen	People's Republic of China	CHN	Women	Aquatics	Diving	10m Platform	W
David Boudia	United States of America	USA	Men	Aquatics	Diving	10m Platform	M
Ilya Zakharov	Russian Federation	RUS	Men	Aquatics	Diving	3m Springboard	M
Minxia Wu	People's Republic of China	CHN	Women	Aquatics	Diving	3m Springboard	W
Hao Wang	People's Republic of China	CHN	Women	Aquatics	Diving	Synchronised 10m Platform	W
Ruolin Chen	People's Republic of China	CHN	Women	Aquatics	Diving	Synchronised 10m Platform	W
Yanquan Zhang	People's Republic of China	CHN	Men	Aquatics	Diving	Synchronised 10m Platform	M
Yuan Cao	People's Republic of China	CHN	Men	Aquatics	Diving	Synchronised 10m Platform	M
Kai Qin	People's Republic of China	CHN	Men	Aquatics	Diving	Synchronised 3m Springboard	M
Minxia Wu	People's Republic of China	CHN	Women	Aquatics	Diving	Synchronised 3m Springboard	W
Yutong Luo	People's Republic of China	CHN	Men	Aquatics	Diving	Synchronised 3m Springboard	M
Zi He	People's Republic of China	CHN	Women	Aquatics	Diving	Synchronised 3m Springboard	W
Florent Manaudou	France	FRA	Men	Aquatics	Swimming	50m Freestyle	M
Missy Franklin	United States of America	USA	Women	Aquatics	Swimming	100m Backstroke	W
Conor Dwyer	United States of America	USA	Men	Aquatics	Swimming	4x200m Freestyle Relay	M
Ruta Meilutyte	Lithuania	LTU	Women	Aquatics	Swimming	100m Breaststroke	W
Dana Vollmer	United States of America	USA	Women	Aquatics	Swimming	100m Butterfly	W
Michael Phelps	United States of America	USA	Men	Aquatics	Swimming	4x200m Freestyle Relay	M
Ricky Berens	United States of America	USA	Men	Aquatics	Swimming	4x200m Freestyle Relay	M
Ranomi Kromowidjojo	Netherlands	NED	Women	Aquatics	Swimming	100m Freestyle	W
Eva Risztov	Hungary	HUN	Women	Aquatics	Swimming	10km Marathon	W
Ryan Lochte	United States of America	USA	Men	Aquatics	Swimming	4x200m Freestyle Relay	M
Missy Franklin	United States of America	USA	Women	Aquatics	Swimming	200m Backstroke	W
Nathan Adrian	United States of America	USA	Men	Aquatics	Swimming	4x100m Medley Relay	M
Brendan Hansen	United States of America	USA	Men	Aquatics	Swimming	4x100m Medley Relay	M
Rebecca Soni	United States of America	USA	Women	Aquatics	Swimming	200m Breaststroke	W
Matthew Grevers	United States of America	USA	Men	Aquatics	Swimming	4x100m Medley Relay	M
Liuyang Jiao	People's Republic of China	CHN	Women	Aquatics	Swimming	200m Butterfly	W
Allison Schmitt	United States of America	USA	Women	Aquatics	Swimming	200m Freestyle	W
Michael Phelps	United States of America	USA	Men	Aquatics	Swimming	4x100m Medley Relay	M
Amaury Leveaux	France	FRA	Men	Aquatics	Swimming	4x100m Freestyle Relay	M
Shiwen Ye	People's Republic of China	CHN	Women	Aquatics	Swimming	200m Individual Medley	W
Camille Muffat	France	FRA	Women	Aquatics	Swimming	400m Freestyle	W
Clement Lefert	France	FRA	Men	Aquatics	Swimming	4x100m Freestyle Relay	M
Fabien Gilot	France	FRA	Men	Aquatics	Swimming	4x100m Freestyle Relay	M
Shiwen Ye	People's Republic of China	CHN	Women	Aquatics	Swimming	400m Individual Medley	W
Alicia Coutts	Australia	AUS	Women	Aquatics	Swimming	4x100m Freestyle Relay	W
Yannick Agnel	France	FRA	Men	Aquatics	Swimming	4x100m Freestyle Relay	M
Brittany Elmslie	Australia	AUS	Women	Aquatics	Swimming	4x100m Freestyle Relay	W
Cate Campbell	Australia	AUS	Women	Aquatics	Swimming	4x100m Freestyle Relay	W
Ryan Lochte	United States of America	USA	Men	Aquatics	Swimming	400m Individual Medley	M
Yang Sun	People's Republic of China	CHN	Men	Aquatics	Swimming	400m Freestyle	M
Melanie Schlanger	Australia	AUS	Women	Aquatics	Swimming	4x100m Freestyle Relay	W
Michael Phelps	United States of America	USA	Men	Aquatics	Swimming	200m Individual Medley	M
Yannick Agnel	France	FRA	Men	Aquatics	Swimming	200m Freestyle	M
Rachel Bootsma	United States of America	USA	Women	Aquatics	Swimming	4x100m Medley Relay	W
Claire Donahue	United States of America	USA	Women	Aquatics	Swimming	4x100m Medley Relay	W
Allison Schmitt	United States of America	USA	Women	Aquatics	Swimming	4x100m Medley Relay	W
Chad le Clos	South Africa	RSA	Men	Aquatics	Swimming	200m Butterfly	M
Daniel Gyurta	Hungary	HUN	Men	Aquatics	Swimming	200m Breaststroke	M
Tyler Clary	United States of America	USA	Men	Aquatics	Swimming	200m Backstroke	M
Missy Franklin	United States of America	USA	Women	Aquatics	Swimming	4x100m Medley Relay	W
Allison Schmitt	United States of America	USA	Women	Aquatics	Swimming	4x200m Freestyle Relay	W
Yang Sun	People's Republic of China	CHN	Men	Aquatics	Swimming	1500m Freestyle	M
Dana Vollmer	United States of America	USA	Women	Aquatics	Swimming	4x200m Freestyle Relay	W
Nathan Adrian	United States of America	USA	Men	Aquatics	Swimming	100m Freestyle	M
Missy Franklin	United States of America	USA	Women	Aquatics	Swimming	4x200m Freestyle Relay	W
Michael Phelps	United States of America	USA	Men	Aquatics	Swimming	100m Butterfly	M
Cameron van der Burgh	South Africa	RSA	Men	Aquatics	Swimming	100m Breaststroke	M
Shannon Vreeland	United States of America	USA	Women	Aquatics	Swimming	4x200m Freestyle Relay	W
Oussama Mellouli	Tunesia	TUN	Men	Aquatics	Swimming	10km Marathon	M
Matthew Grevers	United States of America	USA	Men	Aquatics	Swimming	100m Backstroke	M
Ranomi Kromowidjojo	Netherlands	NED	Women	Aquatics	Swimming	50m Freestyle	W
Katie Ledecky	United States of America	USA	Women	Aquatics	Swimming	800m Freestyle	W
Natalia Ishchenko	Russian Federation	RUS	Women	Aquatics	Synchronized S.	Duets	W
Svetlana Romashina	Russian Federation	RUS	Women	Aquatics	Synchronized S.	Duets	W
Natalia Ishchenko	Russian Federation	RUS	Women	Aquatics	Synchronized S.	Teams	W
Svetlana Romashina	Russian Federation	RUS	Women	Aquatics	Synchronized S.	Teams	W
Annika Dries	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Betsey Armstrong	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Brenda Villa	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Elsie Windes	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Heather Petri	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Kami Craig	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Kelly Rulon	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Lauren Wenger	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Maggie Steffens	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Melissa Seidemann	United States of America	USA	Women	Aquatics	Water polo	water polo	W
Bo Bae Ki	Republic of Korea	KOR	Women	Archery	Archery	Individual	W
Jin Hyek Oh	Republic of Korea	KOR	Men	Archery	Archery	Individual	M
Bo Bae Ki	Republic of Korea	KOR	Women	Archery	Archery	Team	W
Hyeonju Choi	Republic of Korea	KOR	Women	Archery	Archery	Team	W
Marco Galiazzo	Italy	ITA	Men	Archery	Archery	Team	M
Mauro Nespoli	Italy	ITA	Men	Archery	Archery	Team	M
Michele Frangilli	Italy	ITA	Men	Archery	Archery	Team	M
Sung Jin Lee	Republic of Korea	KOR	Women	Archery	Archery	Team	W
Mohamed Farah	Great Britain	GBR	Men	Athletics	Athletics	10000m	M
Tirunesh Dibaba	Ethiopia	ETH	Women	Athletics	Athletics	10000m	W
