Athlete	Country	NOC	Gender	Sport	Discipline	Event	Event_gender
			Women	Aquatics	Diving	10m Platform	W
			Men	Aquatics	Diving	10m Platform	M
			Men	Aquatics	Diving	3m Springboard	M
			Women	Aquatics	Diving	3m Springboard	W
	China	CHN	Women	Aquatics	Diving	Synchronised 10m Platform	W
	China	CHN	Men	Aquatics	Diving	Synchronised 10m Platform	M
	Great Britain	GBR	Men	Aquatics	Diving	Synchronised 3m Springboard	M
	China	CHN	Women	Aquatics	Diving	Synchronised 3m Springboard	W
Anthony Ervin	United States of America	USA	Men	Aquatics	Swimming	50m Freestyle	M
Katinka Hosszú	Hungary	HUN	Women	Aquatics	Swimming	100m Backstroke	W
	United States of America	USA	Men	Aquatics	Swimming	4x200m Freestyle Relay	M
Lilly King	United States of America	USA	Women	Aquatics	Swimming	100m Breaststroke	W
Sarah Sjöström	Sweden	SWE	Women	Aquatics	Swimming	100m Butterfly	W
Penny Oleksiak	Canada	CAN	Women	Aquatics	Swimming	100m Freestyle	W
Simone Manuel	United States of America	USA	Women	Aquatics	Swimming	100m Freestyle	W
			Women	Aquatics	Swimming	10km Marathon	W
Maya DiRado	United States of America	USA	Women	Aquatics	Swimming	200m Backstroke	W
	United States of America	USA	Men	Aquatics	Swimming	4x100m Medley Relay	M
Rie Kaneto	Japan	JPN	Women	Aquatics	Swimming	200m Breaststroke	W
Mireia Belmonte Garcia	Spain	ESP	Women	Aquatics	Swimming	200m Butterfly	W
Katie Ledecky	United States of America	USA	Women	Aquatics	Swimming	200m Freestyle	W
	United States of America	USA	Men	Aquatics	Swimming	4x100m Freestyle Relay	M
Katinka Hosszú	Hungary	HUN	Women	Aquatics	Swimming	200m Individual Medley	W
Katie Ledecky	United States of America	USA	Women	Aquatics	Swimming	400m Freestyle	W
Katinka Hosszú	Hungary	HUN	Women	Aquatics	Swimming	400m Individual Medley	W
	Australia	AUS	Women	Aquatics	Swimming	4x100m Freestyle Relay	W
Kosuke Hagino	Japan	JPN	Men	Aquatics	Swimming	400m Individual Medley	M
Mack Horton	Australia	AUS	Men	Aquatics	Swimming	400m Freestyle	M
Michael Phelps	United States of America	USA	Men	Aquatics	Swimming	200m Individual Medley	M
Sun Yang	China	CHN	Men	Aquatics	Swimming	200m Freestyle	M
	United States of America	USA	Women	Aquatics	Swimming	4x100m Medley Relay	W
Michael Phelps	United States of America	USA	Men	Aquatics	Swimming	200m Butterfly	M
Dmitriy Balandin	Kazakhstan	KAZ	Men	Aquatics	Swimming	200m Breaststroke	M
Ryan Murphy	United States of America	USA	Men	Aquatics	Swimming	200m Backstroke	M
	United States of America	USA	Women	Aquatics	Swimming	4x200m Freestyle Relay	W
Gregorio Paltrinieri	Italy	ITA	Men	Aquatics	Swimming	1500m Freestyle	M
Kyle Chalmers	Australia	AUS	Men	Aquatics	Swimming	100m Freestyle	M
Joseph Schooling	Singapore	SIN	Men	Aquatics	Swimming	100m Butterfly	M
Adam Peaty	Great Britain	GBR	Men	Aquatics	Swimming	100m Breaststroke	M
			Men	Aquatics	Swimming	10km Marathon	M
Ryan Murphy	United States of America	USA	Men	Aquatics	Swimming	100m Backstroke	M
Pernille Blume	Denmark	DEN	Women	Aquatics	Swimming	50m Freestyle	W
Katie Ledecky	United States of America	USA	Women	Aquatics	Swimming	800m Freestyle	W
			Women	Aquatics	Synchronized S.	Duets	W
			Women	Aquatics	Synchronized S.	Teams	W
			Women	Aquatics	Water polo	water polo	W
Chang Hye-jin	South Korea	KOR	Women	Archery	Archery	Individual	W
Ku Bonchan	South Korea	KOR	Men	Archery	Archery	Individual	M
	South Korea	KOR	Women	Archery	Archery	Team	W
	South Korea	KOR	Men	Archery	Archery	Team	M
Mohamed Farah	Great Britain	GBR	Men	Athletics	Athletics	10000m	M
Almaz Ayana	Ethiopia	ETH	Women	Athletics	Athletics	10000m	W
Elaine Thompson	Jamaica	JAM	Women	Athletics	Athletics	100m	W
			Men	Athletics	Athletics	100m	M
			Women	Athletics	Athletics	100m Hurdles	W
			Men	Athletics	Athletics	110m Hurdles	M
			Men	Athletics	Athletics	1500m	M
			Women	Athletics	Athletics	1500m	W
			Women	Athletics	Athletics	200m	W
			Men	Athletics	Athletics	200m	M
			Women	Athletics	Athletics	20km Race Walk	W
Wang Zhen	China	CHN	Men	Athletics	Athletics	20km Race Walk	M
			Men	Athletics	Athletics	3000m Steeplechase	M
			Women	Athletics	Athletics	3000m Steeplechase	W
			Women	Athletics	Athletics	4 x 100m Relay	W
			Men	Athletics	Athletics	4 x 100m Relay	M
			Women	Athletics	Athletics	4 x 400m Relay	W
			Men	Athletics	Athletics	4 x 400m Relay	M
			Men	Athletics	Athletics	400m	M
			Women	Athletics	Athletics	400m	W
			Men	Athletics	Athletics	400m Hurdles	M
			Women	Athletics	Athletics	400m Hurdles	W
			Men	Athletics	Athletics	50km Race Walk	M
			Men	Athletics	Athletics	5000m	M
			Women	Athletics	Athletics	5000m	W
			Women	Athletics	Athletics	800m	W
			Men	Athletics	Athletics	800m	M
			Men	Athletics	Athletics	Marathon	M
			Men	Athletics	Athletics	Decathlon	M
Christoph Harting	Germany	GER	Men	Athletics	Athletics	Discus Throw	M
			Women	Athletics	Athletics	Discus Throw	W
			Men	Athletics	Athletics	Hammer Throw	M
			Women	Athletics	Athletics	Hammer Throw	W
			Women	Athletics	Athletics	Heptathlon	W
			Women	Athletics	Athletics	High Jump	W
			Men	Athletics	Athletics	High Jump	M
			Men	Athletics	Athletics	Javelin Throw	M
			Women	Athletics	Athletics	Javelin Throw	W
			Women	Athletics	Athletics	Long Jump	W
Jeff Henderson	United States of America	USA	Men	Athletics	Athletics	Long Jump	M
			Women	Athletics	Athletics	Marathon	W
			Women	Athletics	Athletics	Pole Vault	W
			Men	Athletics	Athletics	Pole Vault	M
Michelle Carter	United States of America	USA	Women	Athletics	Athletics	Shot Put	W
			Men	Athletics	Athletics	Shot Put	M
			Men	Athletics	Athletics	Triple Jump	M
			Women	Athletics	Athletics	Triple Jump	W
			Men	Badminton	Badminton	Doubles	M
			Women	Badminton	Badminton	Doubles	W
			Men	Badminton	Badminton	Mixed Doubles	X
			Women	Badminton	Badminton	Mixed Doubles	X
			Men	Badminton	Badminton	Singles	M
			Women	Badminton	Badminton	Singles	W
			Men	Basketball	Basketball	basketball	M
			Women	Basketball	Basketball	basketball	W
			Men	Boxing	Boxing	Bantam (56kg)	M
			Women	Boxing	Boxing	Fly (51kg)	W
			Men	Boxing	Boxing	Fly (52kg)	M
			Men	Boxing	Boxing	Heavy (91kg)	M
			Men	Boxing	Boxing	Light (60kg)	M
			Women	Boxing	Boxing	Light 60kg	W
			Men	Boxing	Boxing	Light Fly (49kg)	M
			Men	Boxing	Boxing	Light Heavy (81kg)	M
			Men	Boxing	Boxing	Light Welter (64kg)	M
			Women	Boxing	Boxing	Middle (75kg)	W
			Men	Boxing	Boxing	Middle (75kg)	M
			Men	Boxing	Boxing	Super Heavy (+91kg)	M
			Men	Boxing	Boxing	Welter (69kg)	M
	Slovakia	SVK	Men	Canoe / Kayak	Canoe Slalom	Canoe Double (C2)	M
Denis Garguad Chanut	France	FRA	Men	Canoe / Kayak	Canoe Slalom	Canoe Single (C1)	M
Joseph Clarke	Great Britain	GBR	Men	Canoe / Kayak	Canoe Slalom	Kayak (K1)	M
Maialen Chourraut	Spain	ESP	Women	Canoe / Kayak	Canoe Slalom	Kayak (K1)	W
			Men	Canoe / Kayak	Canoe Sprint	Canoe Single (C1) 200m	M
			Men	Canoe / Kayak	Canoe Sprint	Kayak Single (K1) 200m	M
			Women	Canoe / Kayak	Canoe Sprint	Kayak Single (K1) 200m	W
			Men	Canoe / Kayak	Canoe Sprint	Kayak Double (K2) 200m	M
			Men	Canoe / Kayak	Canoe Sprint	Canoe Double (C2) 1000m	M
			Men	Canoe / Kayak	Canoe Sprint	Canoe Single (C1) 1000m	M
			Men	Canoe / Kayak	Canoe Sprint	Kayak Double (K2) 1000m	M
			Women	Canoe / Kayak	Canoe Sprint	Kayak Double (K2) 500m	W
			Men	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 1000m	M
			Women	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 500m	W
			Men	Canoe / Kayak	Canoe Sprint	Kayak Single (K1) 1000m	M
			Women	Canoe / Kayak	Canoe Sprint	Kayak Single (K1) 500m	W
			Women	Cycling	BMX	BMX	W
			Men	Cycling	BMX	BMX	M
Fabian Cancellara	Switzerland	SUI	Men	Cycling	Cycling Road	Individual Time Trial	M
Kristin Armstrong	United States of America	USA	Women	Cycling	Cycling Road	Individual Time Trial	W
Greg van Avermaet	Belgium	BEL	Men	Cycling	Cycling Road	Road Race	M
Anna van der Breggen	Netherlands	NED	Women	Cycling	Cycling Road	Road Race	W
			Men	Cycling	Cycling Track	Keirin	M
Elis Ligtlee	Netherlands	NED	Women	Cycling	Cycling Track	Keirin	W
			Men	Cycling	Cycling Track	Omnium	M
			Women	Cycling	Cycling Track	Omnium	W
			Women	Cycling	Cycling Track	Sprint	W
			Men	Cycling	Cycling Track	Sprint	M
	Great Britain	GBR	Women	Cycling	Cycling Track	Team Pursuit	W
	Great Britain	GBR	Men	Cycling	Cycling Track	Team Pursuit	M
	Great Britain	GBR	Men	Cycling	Cycling Track	Team Sprint	M
	China	CHN	Women	Cycling	Cycling Track	Team Sprint	W
			Men	Cycling	Mountain Bike	cross-country	M
			Women	Cycling	Mountain Bike	cross-country	W
				Equestrian	Dressage	Individual Dressage	X
	Germany	GER	Men	Equestrian	Dressage	Team Dressage	X
	Germany	GER	Women	Equestrian	Dressage	Team Dressage	X
				Equestrian	Jumping	Individual Jumping	X
	France	FRA	Men	Equestrian	Eventing	Team Eventing	X
Michael Jung	Germany	GER	Men	Equestrian	Eventing	Individual Eventing	X
			Men	Equestrian	Jumping	Team Jumping	X
