Discipline;max;maxMen;maxWomen;numEditions;Group;Order
Athletics;30;30;23;28;Athletics;4
Shooting;21;21;7;26;Shooting & Horse;2
Swimming;17;17;17;28;Water;3
Sailing;13,5;13,5;4;26;Water;2
Boxing;12;12;3;25;Wrestling;5
Artistic G.;11;11;7;28;Athletics;3
Archery;10;10;3;16;Shooting & Horse;3
Weightlifting;10;10;7;25;Shooting & Horse;1
Wrestling Free.;10;10;6;25;Wrestling;4
Wrestling Gre-R;10;10;0;26;Wrestling;3
Canoe Sprint;9;9;4;19;Water;4
Cycling Track;8;8;5;27;Bal & Bike;4
Judo;8;8;7;13;Wrestling;2
Rowing;8;8;6;27;Water;1
Fencing;7;7;5;28;Wrestling;6
Tennis;5;5;3;15;Bal & Bike;7
Diving;4;4;4;26;Bal & Bike;6
Taekwondo;4;4;4;5;Wrestling;1
Canoe Slalom;3;3;1;8;Water;5
Croquet;3;3;0;1;;
Jumping;3;3;0,5;25;Shooting & Horse;4
Water Motorspor;3;3;0;1;;
Badminton;2,5;2,5;2,5;7;Bal & Bike;8
Figure skating;2,5;2,5;1,5;2;;
Cycling Road;2;2;2;25;Bal & Bike;3
Dressage;2;2;2;24;Shooting & Horse;7
Eventing;2;2;0,5;24;Shooting & Horse;6
Golf;2;2;1;3;Bal & Bike;20
Modern Pentath.;2;2;1;24;Shooting & Horse;5
Rackets;2;2;0;1;;
Rhythmic G.;2;0;2;9;Athletics;2
Synchronized S.;2;0;2;9;Bal & Bike;5
Table Tennis;2;2;2;8;Bal & Bike;9
Vaulting;2;2;0;1;;
Baseball;1;1;0;5;Bal & Bike;18
Basketball;1;1;1;19;Bal & Bike;12
Basque Pelota;1;1;0;1;;
Beach volley.;1;1;1;6;Bal & Bike;11
BMX;1;1;1;3;Bal & Bike;1
Cricket;1;1;0;1;;
Football;1;1;1;26;Bal & Bike;22
Handball;1;1;1;13;Bal & Bike;13
Hockey;1;1;1;23;Bal & Bike;17
Ice Hockey;1;1;0;1;;
Jeu de Paume;1;1;0;1;;
Lacrosse;1;1;0;2;;
Mountain Bike;1;1;1;6;Bal & Bike;2
Polo;1;1;0;5;Bal & Bike;21
Roque;1;1;0;1;;
Rugby;1;1;0;4;Bal & Bike;15
Rugby Sevens;1;0;0;1;Bal & Bike;16
Softball;1;0;1;4;Bal & Bike;19
Trampoline;1;1;1;5;Athletics;1
Triathlon;1;1;1;5;Athletics;5
Tug of War;1;1;0;5;Athletics;6
Volleyball;1;1;1;14;Bal & Bike;10
Water polo;1;1;1;26;Bal & Bike;14
